,next_day_mood
1194,7.8
1195,8.0
1196,0.0
1197,6.6
1198,6.8
1199,7.4
1200,6.6
1201,6.6
1202,7.0
1203,7.0
1204,7.2
1205,7.8
1206,7.0
1207,6.8
1208,6.2
1209,7.0
1210,6.75
1211,7.0
1212,6.8
1213,7.8
1214,8.0
1215,6.4
1216,7.0
1217,7.0
1218,6.5
1219,7.0
1220,7.0
1221,7.4
1222,6.8
1223,7.0
1224,7.0
1225,7.0
1226,7.0
1227,7.4
1228,7.2
1229,7.0
1230,6.75
1231,7.0
1232,7.0
1233,7.333333333333333
1234,7.0
1235,7.0
1236,7.0
1237,7.0
1238,7.0
1239,0.0
1240,0.0
1241,7.0
1242,8.0
1243,8.0
1244,8.4
1245,7.6
1246,7.0
1247,7.8
1248,7.333333333333333
1249,8.25
1250,7.666666666666667
1251,8.6
1252,8.0
1253,7.5
1254,8.0
1255,8.5
1256,8.5
1257,7.0
1258,0.0
1259,0.0
1260,7.0
1261,0.0
1262,7.0
1263,8.0
1264,8.0
1265,0.0
1266,7.0
1267,7.5
1268,8.0
1269,7.0
1270,7.0
1271,7.25
1272,7.5
1273,8.666666666666666
1274,7.0
1275,0.0
1276,6.0
1277,6.0
1278,7.75
1279,7.25
1280,7.2
1281,7.2
1282,0.0
1283,0.0
1284,0.0
1285,7.2
1286,7.4
1287,7.666666666666667
1288,7.4
1289,7.2
1290,6.2
1291,5.2
1292,7.0
1293,8.4
1294,7.6
1295,6.2
1296,6.75
1297,6.2
1298,6.4
1299,7.0
1300,0.0
1301,0.0
1302,8.333333333333334
1303,7.25
1304,0.0
1305,5.0
1306,6.6
1307,4.8
1308,7.6
1309,6.0
1310,6.0
1311,5.0
1312,6.833333333333333
1313,6.0
1314,7.0
1315,6.0
1316,6.0
1317,6.2
1318,6.25
1319,6.0
1320,5.75
1321,5.833333333333333
1322,6.4
1323,6.25
1324,5.4
1325,6.2
1326,8.2
1327,7.0
1328,6.8
1329,7.0
1330,0.0
